Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
TAMALE STYLE STUFFED POBLANO PEPPERS,,,,,CHAFER HOT,BUFFET,,
RATATOUILLE BREAD BOWL,,,,,CHAFER HOT,BUFFET,,
PORTOBELLO NAPOLEON,,,,,CHAFER HOT,BUFFET,,
CHARRED BRUSSEL SPROUTS,,,,,CHAFER HOT,BUFFET,,
GRILLED JAPANESE EGGPLANT & LONG BEANS,,,,,CHAFER HOT,BUFFET,,
FOUR-BEAN TAGINE,,,,,CHAFER HOT,BUFFET,,
ROASTED ROOT VEGETABLES,,,,,CHAFER HOT,BUFFET,,
ROASTED FIVE-HERB FINGERLING POTATOES,,,,,CHAFER HOT,BUFFET,,
