Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
"OLD SCHOOL" ITALIANO THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
STUFFED MANICOTTI,"OLD SCHOOL" ITALIANO THEMED BUFFET,included,,,CHAFER HOT,,,
CHICKEN MARSALA,"OLD SCHOOL" ITALIANO THEMED BUFFET,included,,,CHAFER HOT,,,
EGGPLANT PARMIGIANA,"OLD SCHOOL" ITALIANO THEMED BUFFET,included,,,CHAFER HOT,,,
FLOUNDER FRANCAISE,"OLD SCHOOL" ITALIANO THEMED BUFFET,included,,,CHAFER HOT,,,
SWEET ITALIAN SAUSAGE,"OLD SCHOOL" ITALIANO THEMED BUFFET,included,,,CHAFER HOT,,,
