Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
HEART OF ASIA THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
VIETNAMESE SHAKING BEEF,HEART OF ASIA THEMED BUFFET,included,,,CHAFER HOT,,,
SESAME CHICKEN,HEART OF ASIA THEMED BUFFET,included,,,CHAFER HOT,,,
BROCCOLI,HEART OF ASIA THEMED BUFFET,included,,,CHAFER HOT,,,
ASIAN-STYLE STEAMED BOK CHOY,HEART OF ASIA THEMED BUFFET,included,,,CHAFER HOT,,,
JAPANESE-STYLE RICE,HEART OF ASIA THEMED BUFFET,included,,,CHAFER HOT,,,
MIZUNA LETTUCE & SPINACH SALAD,HEART OF ASIA THEMED BUFFET,included,,,COLD DISPLAY,,,
