Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
STEAKHOUSE THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
GRILLED DENVER STEAK,STEAKHOUSE THEMED BUFFET,included,,,CHAFER HOT,,,
"THE WEDGE",STEAKHOUSE THEMED BUFFET,included,,,COLD DISPLAY,,,
ROASTED POTATO & TURNIP SALAD,STEAKHOUSE THEMED BUFFET,included,,,COLD DISPLAY,,,
CREAMED SPINACH,STEAKHOUSE THEMED BUFFET,included,,,CHAFER HOT,,,
STUFFED FLOUNDER,STEAKHOUSE THEMED BUFFET,included,,,CHAFER HOT,,,
ROASTED 5-HERB FINGERLING POTATOES,STEAKHOUSE THEMED BUFFET,included,,,CHAFER HOT,,,
FRIED ARTICHOKES,STEAKHOUSE THEMED BUFFET,included,,,CHAFER HOT,,,
