Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
MEXICAN THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
ANCHO CHILI BEEF TACOS (CORN TORTILLAS / CHAYOTE SQUASH / SCALLION SLAW),MEXICAN THEMED BUFFET,included,,,CHAFER HOT,,,
CLASSIC CAESAR SALAD (ROMAINE HEARTS / GRAPE TOMATOES / PARMIGIANO REGGIANO / HERB CROUTONS),MEXICAN THEMED BUFFET,included,,,COLD DISPLAY,,,
RED BEANS & RICE,MEXICAN THEMED BUFFET,included,,,CHAFER HOT,,,
MEXICAN CHOCOLATE-BRAISED CHICKEN MOLE ENCHILADAS,MEXICAN THEMED BUFFET,included,,,CHAFER HOT,,,
CORN SALAD (CILANTRO / PUMPKIN SEEDS / TOMATO / CUMIN-ORANGE VINAIGRETTE),MEXICAN THEMED BUFFET,included,,,COLD DISPLAY,,,
ACHIOTE SPICED CHAR-GRILLED SEASONAL VEGETABLES,MEXICAN THEMED BUFFET,included,,,CHAFER HOT,,,
GARLIC & ROSEMARY FOCACCIA,MEXICAN THEMED BUFFET,included,,,CHAFER HOT,,,
TAMALE STYLE POBLANO PEPPER (MASA / BLACK BEANS / ZUCCHINI / QUESO FRESCO),MEXICAN THEMED BUFFET,included,,,CHAFER HOT,,,
