Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
MIDDLE EASTERN THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
ZA'ATAR SPICED LEG OF LAMB,MIDDLE EASTERN THEMED BUFFET,included,,,CHAFER HOT,,,
WALNUT & KALE TABBOULEH,MIDDLE EASTERN THEMED BUFFET,included,,,COLD DISPLAY,,,
ROASTED SALMON,MIDDLE EASTERN THEMED BUFFET,included,,,CHAFER HOT,,,
GRILLED MINT & YOGURT-MARINATED CHICKEN,MIDDLE EASTERN THEMED BUFFET,included,,,CHAFER HOT,,,
FRIED CAULIFLOWER,MIDDLE EASTERN THEMED BUFFET,included,,,CHAFER HOT,,,
