Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
EASTERN EUROPEAN THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
HUNGARIAN BEEF GOULASH,EASTERN EUROPEAN THEMED BUFFET,included,,,CHAFER HOT,,,
BUTTERED PIEROGIES,EASTERN EUROPEAN THEMED BUFFET,included,,,CHAFER HOT,,,
SHASHLYK,EASTERN EUROPEAN THEMED BUFFET,included,,,CHAFER HOT,,,
VEGETABLE & RICE STUFFED CABBAGE,EASTERN EUROPEAN THEMED BUFFET,included,,,CHAFER HOT,,,
STEWED MUSHROOMS,EASTERN EUROPEAN THEMED BUFFET,included,,,CHAFER HOT,,,
BEET & APPLE SALAD,EASTERN EUROPEAN THEMED BUFFET,included,,,COLD DISPLAY,,,
