Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
TRADITIONAL SOUTHERN THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
NORTH CAROLINA SHRIMP & GRITS,TRADITIONAL SOUTHERN THEMED BUFFET,included,,,CHAFER HOT,,,
SMOKED KANSAS CITY PULLED PORK,TRADITIONAL SOUTHERN THEMED BUFFET,included,,,CHAFER HOT,,,
RED CABBAGE SLAW,TRADITIONAL SOUTHERN THEMED BUFFET,included,,,COLD DISPLAY,,,
GRILLED POTATOES,TRADITIONAL SOUTHERN THEMED BUFFET,included,,,CHAFER HOT,,,
BRAISED GREENS,TRADITIONAL SOUTHERN THEMED BUFFET,included,,,CHAFER HOT,,,
SOUTHERN BISCUITS,TRADITIONAL SOUTHERN THEMED BUFFET,included,,,CHAFER HOT,,,
