Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
PACIFIC ISLANDS THEMED BUFFET,,,,,CHAFER HOT,BUFFET,,
THAI COCONUT RED CURRY BEEF,PACIFIC ISLANDS THEMED BUFFET,included,,,CHAFER HOT,,,
PINEAPPLE FRIED RICE,PACIFIC ISLANDS THEMED BUFFET,included,,,CHAFER HOT,,,
PHILIPPINE PANCIT,PACIFIC ISLANDS THEMED BUFFET,included,,,CHAFER HOT,,,
GRILLED JAPANESE EGGPLANT & LONG BEANS,PACIFIC ISLANDS THEMED BUFFET,included,,,CHAFER HOT,,,
MANGO & BEAN SPROUT SALAD,PACIFIC ISLANDS THEMED BUFFET,included,,,COLD DISPLAY,,,
PEANUT CHICKEN SATAYS,PACIFIC ISLANDS THEMED BUFFET,included,,,CHAFER HOT,,,
